Location	year	month	day	lambda1 [?m]	transmission1 [%/100]	lambda2 [?m]	transmission2 [%/100]	lambda3 [?m]	transmission3 [%/100]	lambda4 [?m]	transmission4 [%/100]	lambda5 [?m]	transmission5 [%/100]	lambda6 [?m]	transmission6 [%/100]	lambda7 [?m]	transmission7 [%/100]	lambda8 [?m]	transmission8 [%/100]	lambda9 [?m]	transmission9 [%/100]	lambda10 [?m]	transmission10 [%/100]	lambda11 [?m]	transmission11 [%/100]	lambda12 [?m]	transmission12 [%/100]	lambda13 [?m]	transmission13 [%/100]	lambda14 [?m]	transmission14 [%/100]	lambda15 [?m]	transmission15 [%/100]	lambda16 [?m]	transmission16 [%/100]	lambda17 [?m]	transmission17 [%/100]	lambda18 [?m]	transmission18 [%/100]	lambda19 [?m]	transmission19 [%/100]	lambda20 [?m]	transmission20 [%/100]	lambda21 [?m]	transmission21 [%/100]	lambda22 [?m]	transmission22 [%/100]	lambda23 [?m]	transmission23 [%/100]	lambda24 [?m]	transmission24 [%/100]	lambda25 [?m]	transmission25 [%/100]	lambda26 [?m]	transmission26 [%/100]	lambda27 [?m]	transmission27 [%/100]	lambda28 [?m]	transmission28 [%/100]	lambda29 [?m]	transmission29 [%/100]	lambda30 [?m]	transmission30 [%/100]	lambda31 [?m]	transmission31 [%/100]	lambda32 [?m]	transmission32 [%/100]	lambda33 [?m]	transmission33 [%/100]	lambda34 [?m]	transmission34 [%/100]	lambda35 [?m]	transmission35 [%/100]	lambda36 [?m]	transmission36 [%/100]	lambda37 [?m]	transmission37 [%/100]	lambda38 [?m]	transmission38 [%/100]	lambda39 [?m]	transmission39 [%/100]
Mount Wilson, California	1909	7	15	0.3415	0.661	0.3504	0.635	0.36	0.661	0.3709	0.676	0.3838	0.659	0.3974	0.726	0.4127	0.767	0.4307	0.796	0.4516	0.836	0.4753	0.855	0.5026	0.863	0.5348	0.889	0.5742	0.891	0.5995	-999	0.6238	0.92	0.653	-999	0.6858	0.959	0.72	-999	0.7644	0.977	0.8085	-999	0.8634	0.98	0.9215	-999	0.9861	0.977	1.064	-999	1.1474	0.989	1.223	-999	1.3019	0.991	1.38	-999	1.452	0.986	1.5285	-999	1.6032	0.984	1.67	-999	1.7378	0.982	1.87	0.977	2	0.975	2.1232	0.984	2.2416	0.964	2.3481	0.951	2.4424	0.944
Mount Wilson, California	1909	8	11	0.3415	0.575	0.3504	0.617	0.36	0.665	0.3709	0.695	0.3838	0.725	0.3974	0.743	0.4127	0.76	0.4307	0.813	0.4516	0.813	0.4753	0.841	0.5026	0.855	0.5348	0.883	0.5742	0.879	0.5995	-999	0.6238	0.91	0.653	-999	0.6858	0.933	0.72	-999	0.7644	0.957	0.8085	-999	0.8634	0.966	0.9215	-999	0.9861	0.98	1.064	-999	1.1474	0.989	1.223	-999	1.3019	0.991	1.38	-999	1.452	0.986	1.5285	-999	1.6032	0.989	1.67	-999	1.7378	0.98	1.87	0.97	2	-999	2.1232	0.98	2.2416	0.959	2.3481	0.853	2.4424	0.748
Mount Wilson, California	1909	9	14	0.3415	0.497	0.3504	0.525	0.36	0.614	0.3709	0.627	0.3838	0.67	0.3974	0.693	0.4127	0.71	0.4307	0.741	0.4516	0.783	0.4753	0.809	0.5026	0.855	0.5348	0.873	0.5742	0.869	0.5995	-999	0.6238	0.887	0.653	-999	0.6858	0.927	0.72	-999	0.7644	0.955	0.8085	-999	0.8634	0.97	0.9215	-999	0.9861	0.98	1.064	-999	1.1474	0.991	1.223	-999	1.3019	0.993	1.38	-999	1.452	0.975	1.5285	-999	1.6032	0.973	1.67	-999	1.7378	0.982	1.87	0.973	2	0.984	2.1232	0.968	2.2416	0.923	2.3481	0.904	2.4424	0.895
Mount Wilson, California	1909	11	2	0.3415	0.562	0.3504	0.596	0.36	0.621	0.3709	0.668	0.3838	0.931	0.3974	0.716	0.4127	0.774	0.4307	0.802	0.4516	0.818	0.4753	0.855	0.5026	0.873	0.5348	0.889	0.5742	0.893	0.5995	-999	0.6238	0.916	0.653	-999	0.6858	0.957	0.72	-999	0.7644	0.977	0.8085	-999	0.8634	0.977	0.9215	-999	0.9861	0.984	1.064	-999	1.1474	0.982	1.223	-999	1.3019	0.991	1.38	-999	1.452	0.993	1.5285	-999	1.6032	0.968	1.67	-999	1.7378	0.993	1.87	0.989	2	0.973	2.1232	0.982	2.2416	0.998	2.3481	0.993	2.4424	0.938
Mount Wilson, California	1910	5	31	0.3415	0.525	0.3504	0.531	0.36	0.589	0.3709	0.646	0.3838	0.753	0.3974	0.753	0.4127	0.7	0.4307	0.745	0.4516	0.769	0.4753	0.791	0.5026	0.805	0.5348	0.838	0.5742	0.861	0.5995	-999	0.6238	0.891	0.653	-999	0.6858	0.931	0.72	-999	0.7644	0.944	0.8085	-999	0.8634	0.959	0.9215	-999	0.9861	0.984	1.064	-999	1.1474	0.966	1.223	-999	1.3019	0.955	1.38	-999	1.452	0.964	1.5285	-999	1.6032	0.998	1.67	-999	1.7378	0.986	1.87	0.959	2	0.977	2.1232	0.973	2.2416	0.982	2.3481	0.929	2.4424	-999
Mount Wilson, California	1910	6	6	0.3415	-999	0.3504	0.621	0.36	0.656	0.3709	0.686	0.3838	0.7	0.3974	0.713	0.4127	0.769	0.4307	0.794	0.4516	0.836	0.4753	0.857	0.5026	0.877	0.5348	0.889	0.5742	0.895	0.5995	-999	0.6238	0.923	0.653	-999	0.6858	0.944	0.72	-999	0.7644	0.97	0.8085	-999	0.8634	0.989	0.9215	-999	0.9861	0.986	1.064	-999	1.1474	0.962	1.223	-999	1.3019	0.977	1.38	-999	1.452	0.977	1.5285	-999	1.6032	0.989	1.67	-999	1.7378	0.991	1.87	0.982	2	0.98	2.1232	0.984	2.2416	0.955	2.3481	0.966	2.4424	0.82
Mount Wilson, California	1910	6	21	0.3415	0.556	0.3504	0.59	0.36	0.612	0.3709	0.653	0.3838	0.682	0.3974	0.698	0.4127	0.746	0.4307	0.764	0.4516	0.789	0.4753	0.863	0.5026	0.879	0.5348	0.883	0.5742	0.889	0.5995	-999	0.6238	0.916	0.653	-999	0.6858	0.942	0.72	-999	0.7644	0.97	0.8085	-999	0.8634	0.977	0.9215	-999	0.9861	0.995	1.064	-999	1.1474	0.975	1.223	-999	1.3019	0.986	1.38	-999	1.452	0.993	1.5285	-999	1.6032	0.984	1.67	-999	1.7378	0.982	1.87	0.998	2	0.944	2.1232	0.98	2.2416	0.968	2.3481	0.91	2.4424	-999
Mount Wilson, California	1910	10	9	0.3415	0.566	0.3504	0.603	0.36	0.631	0.3709	0.64	0.3838	0.667	0.3974	0.738	0.4127	0.741	0.4307	0.764	0.4516	0.804	0.4753	0.794	0.5026	0.843	0.5348	0.873	0.5742	0.871	0.5995	0.877	0.6238	0.887	0.653	0.895	0.6858	0.906	0.72	0.933	0.7644	0.951	0.8085	0.968	0.8634	0.982	0.9215	0.984	0.9861	0.982	1.064	0.98	1.1474	0.986	1.223	0.986	1.3019	0.973	1.38	0.966	1.452	0.962	1.5285	0.957	1.6032	0.957	1.67	0.948	1.7378	0.948	1.87	0.953	2	0.951	2.1232	0.938	2.2416	0.975	2.3481	0.905	2.4424	-999
Mount Wilson, California	1911	6	26	0.3415	0.6	0.3504	0.586	0.36	0.622	0.3709	0.653	0.3838	0.653	0.3974	0.695	0.4127	0.748	0.4307	0.778	0.4516	0.8	0.4753	0.836	0.5026	0.874	0.5348	0.875	0.5742	0.867	0.5995	0.881	0.6238	0.908	0.653	0.916	0.6858	0.94	0.72	0.948	0.7644	0.955	0.8085	0.957	0.8634	0.957	0.9215	0.959	0.9861	0.964	1.064	0.959	1.1474	0.953	1.223	0.951	1.3019	0.959	1.38	0.955	1.452	0.955	1.5285	0.962	1.6032	0.966	1.67	0.962	1.7378	0.951	1.87	0.953	2	0.962	2.1232	0.929	2.2416	0.914	2.3481	0.881	2.4424	-999
Mount Wilson, California	1911	8	31	0.3415	0.627	0.3504	0.624	0.36	0.622	0.3709	0.647	0.3838	0.652	0.3974	0.692	0.4127	0.75	0.4307	0.767	0.4516	0.826	0.4753	0.853	0.5026	0.891	0.5348	0.9	0.5742	0.891	0.5995	0.912	0.6238	0.918	0.653	0.935	0.6858	0.953	0.72	0.966	0.7644	0.977	0.8085	0.984	0.8634	0.989	0.9215	0.989	0.9861	0.991	1.064	0.986	1.1474	0.973	1.223	0.968	1.3019	0.977	1.38	0.975	1.452	0.991	1.5285	0.995	1.6032	0.993	1.67	0.993	1.7378	0.993	1.87	0.991	2	0.984	2.1232	0.982	2.2416	0.973	2.3481	0.933	2.4424	-999
Mount Wilson, California	1911	9	18	0.3415	0.684	0.3504	0.619	0.36	0.665	0.3709	0.638	0.3838	0.687	0.3974	0.741	0.4127	0.804	0.4307	0.813	0.4516	0.838	0.4753	0.877	0.5026	0.904	0.5348	0.897	0.5742	0.925	0.5995	0.918	0.6238	0.927	0.653	0.942	0.6858	0.955	0.72	0.966	0.7644	0.968	0.8085	0.975	0.8634	0.977	0.9215	0.98	0.9861	0.98	1.064	0.984	1.1474	0.984	1.223	0.973	1.3019	0.966	1.38	0.973	1.452	0.97	1.5285	0.975	1.6032	0.973	1.67	0.975	1.7378	0.968	1.87	0.968	2	0.966	2.1232	0.964	2.2416	0.97	2.3481	0.977	2.4424	-999
Mount Wilson, California	1911	11	19	0.3415	0.741	0.3504	0.656	0.36	0.646	0.3709	0.674	0.3838	0.731	0.3974	0.746	0.4127	0.769	0.4307	0.811	0.4516	0.843	0.4753	0.853	0.5026	0.881	0.5348	0.895	0.5742	0.9	0.5995	0.91	0.6238	0.925	0.653	0.94	0.6858	0.946	0.72	0.962	0.7644	0.973	0.8085	0.982	0.8634	0.982	0.9215	0.984	0.9861	0.986	1.064	0.986	1.1474	0.991	1.223	0.989	1.3019	0.989	1.38	0.989	1.452	0.993	1.5285	0.993	1.6032	0.964	1.67	0.993	1.7378	0.995	1.87	0.991	2	0.982	2.1232	0.982	2.2416	0.973	2.3481	0.931	2.4424	-999
Mount Wilson, California	1912	6	7	0.3415	0.646	0.3504	0.653	0.36	0.643	0.3709	0.693	0.3838	0.706	0.3974	0.769	0.4127	0.778	0.4307	0.783	0.4516	0.836	0.4753	0.863	0.5026	0.885	0.5348	0.887	0.5742	0.9	0.5995	0.908	0.6238	0.918	0.653	0.953	0.6858	0.942	0.72	0.948	0.7644	0.966	0.8085	0.959	0.8634	0.957	0.9215	0.964	0.9861	0.977	1.064	0.977	1.1474	0.975	1.223	0.98	1.3019	0.966	1.38	0.964	1.452	0.964	1.5285	0.966	1.6032	0.966	1.67	0.959	1.7378	0.953	1.87	0.951	2	0.948	2.1232	0.98	2.2416	0.955	2.3481	0.904	2.4424	-999
